법인구분,고유번호,회사명,법인명,최초취득일자,출자목적,최초취득금액,기말잔액수량,기말잔액지분율,기말잔액장부가액
유가,149354,종근당홀딩스,한미약품,2015.11.13,단순투자,"720,000,000","1,091",0,"637,000,000"
유가,136721,신영증권,한국가스공사,2014.08.22,단순투자,"30,000,000,000","30,000,000,000",9.72,"29,908,000,000"
유가,108940,대성홀딩스,서울도시가스,2009.06.01,단순투자,"29,950,000,000","1,130,000",22%,"214,082,000,000"
유가,174004,유성기업,삼성SDI,2006.06.02,단순투자,"47,000,000",0,0,0
유가,174004,유성기업,LG화학,2013.07.04,단순투자,"370,000,000","1,451",0.002,"588,000,000"
유가,305668,새론오토모티브,현대모비스,2007.06.20,단순투자,"296,000,000","3,245",-,"854,000,000"
유가,123107,보락,해태제과식품,2008.04.30,단순투자,"979,500,000","15,000",0.05,"231,750,000"
코스닥,318316,대아티아이,웹케시,2017.12.28,단순투자,"60,000,000","40,000",0.71,"40,000,000"
코스닥,545929,제넥신,바이넥스,2015.04.22,단순투자,"2,979,000,000","52,000",0.17%,"562,000,000"
코스닥,131504,서한,JB금융지주,-,단순투자,"4,467,000,000","607,000",-,"3,682,000,000"
유가,148522,퍼스텍,후성,2006.11.21,단순투자,"206,400,000","295,131",0.32,"2,995,580,000"
유가,106623,현대위아,코렌텍,2012.03.29,단순투자,"9,810,000,000","719,000",7.24,"8,448,000,000"
유가,106623,현대위아,STX중공업,2017.03.31,단순투자,-,"28,001",0.11,"129,000,000"
유가,177199,디씨엠,와이엔텍,2014.12.03,단순투자,"532,921,000","120,000",-,"504,000,000"
유가,177199,디씨엠,원일특강,2014.12.04,단순투자,"696,698,000","58,000",-,"573,040,000"
유가,177199,디씨엠,삼아알미늄,2014.12.12,단순투자,"350,555,000","86,000",-,"279,070,000"
유가,177199,디씨엠,삼성바이오로직스,2016.11.07,단순투자,"187,952,000",-,-,-
유가,177199,디씨엠,현대백화점,2017.03.27,단순투자,"379,663,000","10,000",-,"1,045,000,000"
유가,177199,디씨엠,금호타이어,2010.09.30,단순투자,"100,000,000","20,000",-,"88,500,000"
유가,177199,디씨엠,알에프텍,2013.11.04,단순투자,"49,998,000",-,-,-
유가,177199,디씨엠,현대중공업,2013.11.27,단순투자,"1,508,671,000",-,-,-
유가,177199,디씨엠,동일산업,2014.10.28,단순투자,"1,939,050,000","141,460",-,"9,534,404,000"
유가,177199,디씨엠,LG전자,2014.10.06,단순투자,"328,050,000",-,-,-
유가,177199,디씨엠,고려제강,2014.10.29,단순투자,"2,081,605,000","47,000",-,"1,541,600,000"
유가,113243,대한제분,이지바이오,2017.12.15,단순투자,"9,818,000,000","1,600,000",2.85,"10,272,000,000"
유가,102113,경인양행,네오세미테크,2000.09.01,단순투자,"12,000,000","60,000",0.12%,"12,000,000"
유가,144818,유유제약,올릭스,2014.08.26,단순투자,"1,000,000,000",-,-,-
코스닥,440712,어반리튬,SV인베스트먼트,2013.04.01,단순투자,"400,000,000",-,-,-
