법인구분,고유번호,회사명,법인명,최초취득일자,출자목적,최초취득금액,기말잔액수량,기말잔액지분율,기말잔액장부가액
코스닥,00132992,성우하이텍,현대제철,-,단순투자,"34,380,000,000","433,808",0.33,"17,786,000,000"
코스닥,00132992,성우하이텍,KNN,-,단순투자,"8,662,000,000","7,355,570",5.55,"10,188,000,000"
유가,01234297,미원에스씨,KPX케미칼,2020.10.07,단순투자,"28,000,000","32,777",0.68,"1,757,000,000"
유가,01234297,미원에스씨,롯데정밀화학,2020.11.03,단순투자,"24,000,000",0,0.00,0
유가,01234297,미원에스씨,대덕,2020.11.16,단순투자,"58,000,000","323,454",0.95,"2,607,000,000"
유가,00122056,미창석유공업,삼성바이오로직스,2021.03.11,단순투자,"689,000,000","1,000",-,"722,000,000"
유가,00122056,미창석유공업,삼성전자,2021.02.08,단순투자,"411,000,000","45,000",-,"3,915,000,000"
유가,00122056,미창석유공업,삼양홀딩스,2021.11.15,단순투자,"94,000,000","4,930",-,"484,000,000"
유가,00122056,미창석유공업,신한지주,2021.09.24,단순투자,"115,000,000","25,000",-,"920,000,000"
유가,00122056,미창석유공업,NAVER,2021.05.17,단순투자,"202,000,000",600,-,"454,000,000"
유가,00122056,미창석유공업,카카오,2021.03.11,단순투자,"659,000,000","18,500",-,"2,081,000,000"
유가,00122056,미창석유공업,쿠쿠홈시스,2021.11.15,단순투자,"104,000,000","7,450",-,"292,000,000"
유가,00122056,미창석유공업,클리노믹스,2019.04.30,단순투자,"2,000,000,000","100,916",0.75,"1,307,000,000"
유가,00122056,미창석유공업,현대자동차,2021.02.10,단순투자,"234,000,000","6,500",-,"2,404,000,000"
유가,00122056,미창석유공업,호텔신라,2021.03.19,단순투자,"174,000,000","11,000",-,"858,000,000"
유가,00122056,미창석유공업,KB금융,2021.09.16,단순투자,"417,000,000","17,000",-,"935,000,000"
유가,00122056,미창석유공업,GS건설,2021.03.19,단순투자,"120,000,000","16,000",-,"634,000,000"
유가,00122056,미창석유공업,LG화학,2021.09.03,단순투자,"438,000,000","1,200",-,"738,000,000"
유가,00122056,미창석유공업,SK,2021.09.01,단순투자,"129,000,000","15,902",-,"3,991,000,000"
유가,00122056,미창석유공업,SK이노베이션,2021.03.09,단순투자,"377,000,000","11,000",-,"2,624,000,000"
유가,00122056,미창석유공업,SK하이닉스,2021.07.13,단순투자,"475,000,000","24,000",-,"3,144,000,000"
유가,00122056,미창석유공업,유수홀딩스,2019.07.11,단순투자,"140,000,000","49,300",-,"311,000,000"
유가,00122056,미창석유공업,롯데쇼핑,2020.03.30,단순투자,"365,000,000","7,000",-,"610,000,000"
유가,00122056,미창석유공업,삼성물산,2020.11.03,단순투자,"552,000,000","5,000",-,"595,000,000"
코스닥,00488989,한양디지텍,디앤디플랫폼리츠,2021.08.27,단순투자,"267,000,000","53,582",0.08,"289,000,000"
유가,00117498,스틱인베스트먼트,바이옵트로,2006.08.01,단순투자,"476,000,000",-,-,"1,510,000,000"
