법인구분,고유번호,회사명,법인명,최초취득일자,출자목적,최초취득금액,기말잔액수량,기말잔액지분율,기말잔액장부가액
코스닥,00389970,다날,바른손이앤에이,2005.12.27,단순투자,"2,999,998,000","1,790,406",2.71 ,"4,798,288,000"
코스닥,00389970,다날,팬엔터테인먼트,2013.03.14,단순투자,"2,999,996,000",-,-,-
유가,00149354,종근당홀딩스,한미약품,2015.11.13,단순투자,"720,000,000","1,000",0,"728,000,000"
유가,00136721,신영증권,한국가스공사,2014.08.22,단순투자,"30,000,000,000","30,000,000,000",9.72,"29,583,000,000"
유가,00108940,대성홀딩스,서울도시가스,2009.06.01,단순투자,"29,950,000,000","1,130,000",　22%,"199,853,000,000"
유가,00174004,유성기업,삼성SDI,2006.06.02,단순투자,"47,000,000",600,0.001,"69,000,000"
유가,00174004,유성기업,LG화학,2013.07.04,단순투자,"370,000,000","1,451",0.002,"477,000,000"
유가,00305668,새론오토모티브,현대모비스,2007.06.20,단순투자,"296,000,000","3,245",-,"800,000,000"
유가,00123107,보락,해태제과식품,2008.04.30,단순투자,"979,500,000","60,000",0.5,"790,003,000"
코스닥,00545929,제넥신,바이넥스,2012.10.23,단순투자,-,"52,000",0.17%,"842,000,000"
코스닥,00545929,제넥신,한독,2014.10.28,단순투자,"869,000,000",0,0,0
코넥스,01065785,노브메타파마,아이컴포넌트,2015.02.10,단순투자,"483,217,000","35,000",0.51,"476,000,000"
유가,00159795,한국카본,하나금융지주,2013.04.26,단순투자,16,433,0.0001,11
유가,00148522,퍼스텍,후성,2006.11.21,단순투자,"206,400,000","295,131",0.32,"1,581,902,000"
코스닥,00219440,휴맥스홀딩스,퀀타매트릭스,2015.04.29,단순투자,"3,388,897,000","194,514",12.99,"3,388,897,000"
유가,00106623,현대위아,코렌텍,2012.03.29,단순투자,"2,000,000,000","719,000",7.5,"10,713,000,000"
유가,00177199,디씨엠,삼성전기,2014.01.23,단순투자,"1,394,258,000","10,000",-,"629,000,000"
유가,00177199,디씨엠,LG화학,2013.11.27,단순투자,"332,011,000",-,-,-
유가,00177199,디씨엠,엔씨소프트,2014.01.23,단순투자,"801,126,000",-,-,-
유가,00177199,디씨엠,동일산업,2014.10.28,단순투자,"1,939,050,000","132,424",-,"7,534,926,000"
유가,00177199,디씨엠,LG전자,2014.10.06,단순투자,"328,050,000","4,500",-,"242,100,000"
유가,00177199,디씨엠,고려제강,2014.10.29,단순투자,"2,081,605,000","48,001",-,"1,790,700,000"
유가,00177199,디씨엠,와이엔텍,2014.12.03,단순투자,"532,921,000","167,000",-,"570,305,000"
유가,00177199,디씨엠,원일특강,2015.08.24,단순투자,"696,698,000","58,000",-,"661,200,000"
유가,00177199,디씨엠,삼아알미늄,2014.12.12,단순투자,"350,555,000","124,514",-,"284,230,000"
유가,00177199,디씨엠,제일모직,2014.12.15,단순투자,"24,115,000",-,-,-
유가,00177199,디씨엠,풍산,2015.03.20,단순투자,"1,000,022,000","41,157",-,"410,306,000"
유가,00177199,디씨엠,SK하이닉스,2015.12.29,단순투자,"325,325,000","10,000",-,"307,500,000"
유가,00177199,디씨엠,에코프로,2011.07.10,단순투자,"114,987,000",-,-,-
유가,00177199,디씨엠,금호타이어,2010.09.30,단순투자,"100,000,000","20,000",-,"134,600,000"
유가,00177199,디씨엠,알에프텍,2013.11.04,단순투자,"49,998,000","13,808",-,"324,800,000"
유가,00177199,디씨엠,삼성전자,2013.11.27,단순투자,"995,925,000",-,-,-
유가,00177199,디씨엠,현대중공업,2013.11.27,단순투자,"1,138,606,000","9,500",-,"834,100,000"
코스닥,00447502,바이오톡스텍,이노션,2015.07.14,단순투자,"2,000,000",30,0.00,"2,000,000"
코스닥,00490151,파트론,큐에스아이,2009.06.03,단순투자,"28,794,000","28,794",-,"329,972,000"
유가,00102113,경인양행,네오세미테크,2000.09.01,단순투자,"12,000,000","60,000",0.12%,"12,000,000"
유가,00144818,유유제약,올릭스,2014.08.26,단순투자,-,"100,017",5.8,"1,000,000,000"
