법인구분,고유번호,회사명,법인명,최초취득일자,출자목적,최초취득금액,기말잔액수량,기말잔액지분율,기말잔액장부가액
유가,149354,종근당홀딩스,한미약품,2015.11.13,단순투자,"720,000,000","1,020",0 ,"312,000,000"
유가,136721,신영증권,한국가스공사,2014.08.22,단순투자,"30,000,000,000","30,000,000,000",9.72,"29,804,000,000"
유가,108940,대성홀딩스,서울도시가스,2009.06.01,단순투자,"29,950,000,000","1,130,000",22%,"206,466,000,000"
유가,174004,유성기업,삼성SDI,2006.06.02,단순투자,"47,000,000",600,0.001,"66,000,000"
유가,174004,유성기업,LG화학,2013.07.04,단순투자,"370,000,000","1,451",0.002,"379,000,000"
유가,305668,새론오토모티브,현대모비스,2007.06.20,단순투자,"296,000,000","3,245",-,"857,000,000"
유가,123107,보락,해태제과식품,2008.04.30,단순투자,"979,500,000","15,000",0.05,"269,250,000"
코스닥,545929,제넥신,바이넥스,2012.10.23,단순투자,-,"52,000",0.17%,"881,000,000"
코넥스,1065785,노브메타파마,아이컴포넌트,2015.02.10,단순투자,"483,217,000","35,000",0.49,"484,750,000"
유가,159795,한국카본,하나금융지주,2013.04.26,단순투자,"16,000,000",433,0.0001,"13,000,000"
코스닥,549891,케어젠,아모레퍼시픽,2015.12.08,단순투자,"518,000,000",-,-,-
코스닥,549891,케어젠,LG화학,2016.01.07,단순투자,"269,000,000","4,000",-,"1,138,000,000"
코스닥,549891,케어젠,에이블씨엔씨,2014.10.29,단순투자,"6,000,000","13,000",-,"269,000,000"
코스닥,549891,케어젠,한스바이오메드,2010.03.26,단순투자,"4,000,000","7,000",-,"120,000,000"
코스닥,549891,케어젠,한국콜마,2015.04.06,단순투자,"46,000,000","6,000",-,"404,000,000"
유가,148522,퍼스텍,후성,2006.11.21,단순투자,"206,400,000","295,131",0.32,"2,166,262,000"
코스닥,219440,휴맥스홀딩스,퀀타매트릭스,2015.04.29,단순투자,"3,388,897,000","194,514",12.99,"3,388,897,000"
유가,106623,현대위아,코렌텍,2012.03.29,단순투자,"9,810,000,000","719,000",7.50,"10,174,000,000"
유가,177199,디씨엠,삼성전기,2014.01.23,단순투자,"1,394,258,000",-,-,-
유가,177199,디씨엠,고려제강,2014.10.29,단순투자,"2,081,605,000","47,000",-,"1,887,050,000"
유가,177199,디씨엠,와이엔텍,2014.12.03,단순투자,"532,921,000","203,593",-,"714,611,000"
유가,177199,디씨엠,원일특강,2014.12.04,단순투자,"696,698,000","58,000",-,"600,300,000"
유가,177199,디씨엠,삼아알미늄,2014.12.12,단순투자,"350,555,000","86,000",-,"344,000,000"
유가,177199,디씨엠,풍산,2015.03.20,단순투자,"1,000,022,000",-,-,0
유가,177199,디씨엠,SK하이닉스,2015.12.29,단순투자,"325,325,000",-,-,0
유가,177199,디씨엠,삼성바이오로직스,2016.11.07,단순투자,"187,952,000","1,382",-,"208,682,000"
유가,177199,디씨엠,금호타이어,2010.09.30,단순투자,"100,000,000","20,000",-,"169,600,000"
유가,177199,디씨엠,알에프텍,2013.11.04,단순투자,"49,998,000","60,000",-,"302,400,000"
유가,177199,디씨엠,현대중공업,2013.11.27,단순투자,"1,508,671,000","9,500",-,"1,382,250,000"
유가,177199,디씨엠,동일산업,2014.10.28,단순투자,"1,939,050,000","139,660",-,"11,647,644,000"
유가,177199,디씨엠,LG전자,2014.10.06,단순투자,"328,050,000","4,500",-,"232,200,000"
코스닥,447502,바이오톡스텍,이노션,2015.07.14,단순투자,"2,000,000",-,-,-
유가,102113,경인양행,네오세미테크,2000.09.01,단순투자,"12,000,000","60,000",0.12%,"12,000,000"
유가,126414,삼성제약,한국테크놀로지,2016.04.11,단순투자,"203,651,000",-,　-,-
코스닥,440712,어반리튬,SV인베스트먼트,2013.04.01,단순투자,"400,000,000","80,000",3.88%,"400,000,000"
