법인구분,고유번호,회사명,법인명,최초취득일자,출자목적,최초취득금액,기말잔액수량,기말잔액지분율,기말잔액장부가액
유가,00149354,종근당홀딩스,한미약품,2015.11.13,단순투자,"720,000,000","1,134",0.0,"336,000,000"
유가,00149354,종근당홀딩스,대한약품,2016.01.26,단순투자,"2,837,000,000","113,802",1.9,"3,602,000,000"
유가,00149354,종근당홀딩스,삼일제약,2016.01.26,단순투자,"822,000,000","70,635",1.1,"1,487,000,000"
유가,00149354,종근당홀딩스,헬릭스미스,2018.03.21,단순투자,"742,000,000","14,281",0.1,"1,324,000,000"
유가,00149354,종근당홀딩스,메지온,2018.03.21,단순투자,"418,000,000","7,344",0.1,"1,405,000,000"
유가,00149354,종근당홀딩스,SK하이닉스,2018.03.22,단순투자,"297,000,000","5,162",0.0,"486,000,000"
유가,00149354,종근당홀딩스,차바이오텍,2018.03.26,단순투자,"177,000,000","11,407",0.0,"165,000,000"
유가,00149354,종근당홀딩스,LG화학,2018.09.21,단순투자,"55,000,000",360,0.0,"114,000,000"
유가,00149354,종근당홀딩스,아이디스,2018.10.05,단순투자,"343,000,000","117,512",1.1,"3,002,000,000"
유가,00149354,종근당홀딩스,삼성SDI,2018.12.18,단순투자,"21,000,000",801,0.0,"189,000,000"
유가,00149354,종근당홀딩스,SBI핀테크솔루션즈,2019.02.19,단순투자,"205,000,000","16,435",0.1,"168,000,000"
유가,00149354,종근당홀딩스,이노메트리,2019.04.01,단순투자,"1,029,000,000","32,741",0.7,"1,002,000,000"
유가,00149354,종근당홀딩스,롯데리츠,2019.10.30,단순투자,"313,000,000","62,544",0.0,"385,000,000"
유가,00174004,유성기업,LG화학,2013.07.04,단순투자,"370,000,000","1,451",0.002,"461,000,000"
유가,00305668,새론오토모티브,현대모비스,2007.06.20,단순투자,"296,000,000","3,245",-,"831,000,000"
코스닥,00545929,제넥신,바이넥스,2015.04.22,단순투자,"2,979,000,000","52,000",0.16%,"411,000,000"
코스닥,00131504,서한,JB금융지주,-,단순투자,"4,467,000,000","608,000",-,"3,338,000,000"
코스닥,00131504,서한,우리금융지주,-,단순투자,"204,000,000","9,000",-,"110,000,000"
코스닥,00549891,케어젠,한국콜마,2015.04.06,단순투자,"46,000,000",16,0,"756,000,000"
코스닥,00549891,케어젠,에이블씨엔씨,2014.10.29,단순투자,"6,000,000",25,0,"256,000,000"
코스닥,00549891,케어젠,아모레퍼시픽,2017.08.24,단순투자,0,3,0,"588,000,000"
유가,00106623,현대위아,코렌텍,2012.03.29,단순투자,"9,810,000,000","719,000",7.24,"2,446,000,000"
유가,00111810,대웅,브릿지바이오,2018.11.30,단순투자,"3,000,038,000","82,080",2,"4,711,393,000"
코스닥,00406329,루멘스,비상교육,2013.11.22,단순투자,"3,882,000,000","295,750",2.28%,"2,298,000,000"
코스닥,00406329,루멘스,티엘아이,2018.05.15,단순투자,"1,998,000,000","370,000",3.75%,"1,848,000,000"
코스닥,00406329,루멘스,오디텍,2018.12.27,단순투자,"970,000,000","173,653",1.53%,"877,000,000"
유가,00177199,디씨엠,금호타이어,2010.09.30,단순투자,"100,000,000","20,000",-,"83,900,000"
유가,00177199,디씨엠,하나금융지주,2019.09.17,단순투자,"179,116,000","5,000",-,"184,500,000"
유가,00177199,디씨엠,SK하이닉스,2018.08.09,단순투자,"30,108,000",-,-,-
유가,00177199,디씨엠,GS건설,2018.08.09,단순투자,"22,724,000",-,-,-
유가,00177199,디씨엠,삼성SDI,2018.08.09,단순투자,"17,138,000",-,-,-
유가,00177199,디씨엠,호텔신라,2018.08.09,단순투자,"27,285,000",-,-,-
유가,00177199,디씨엠,롯데케미칼,2018.08.09,단순투자,"17,493,000",-,-,-
유가,00177199,디씨엠,SKC,2018.08.09,단순투자,"30,205,000",-,-,-
유가,00177199,디씨엠,LG디스플레이,2018.08.09,단순투자,"12,232,000",-,-,-
유가,00177199,디씨엠,동원F&B,2018.08.09,단순투자,"18,228,000",-,-,-
유가,00177199,디씨엠,LG화학,2018.08.09,단순투자,"23,870,000",-,-,-
유가,00177199,디씨엠,LG전자,2018.08.09,단순투자,"4,985,000",-,-,-
유가,00177199,디씨엠,현대백화점,2018.08.09,단순투자,"16,301,000",-,-,-
유가,00177199,디씨엠,한국금융지주,2018.08.09,단순투자,"27,836,000",-,-,-
유가,00177199,디씨엠,동일산업,2014.10.28,단순투자,"1,939,050,000","190,411",-,"11,024,797,000"
유가,00177199,디씨엠,아모레퍼시픽,2018.08.09,단순투자,"11,298,000",-,-,-
유가,00177199,디씨엠,현대건설기계,2018.08.09,단순투자,"26,695,000",-,-,-
유가,00177199,디씨엠,고려제강,2014.10.29,단순투자,"2,081,605,000",-,-,-
유가,00177199,디씨엠,와이엔텍,2014.12.03,단순투자,"400,441,000","78,000",-,"815,100,000"
유가,00177199,디씨엠,원일특강,2014.12.04,단순투자,"696,698,000",-,-,-
유가,00177199,디씨엠,현대백화점,2017.03.27,단순투자,"379,663,000","7,000",-,"581,700,000"
유가,00177199,디씨엠,삼성전자,2018.06.12,단순투자,"500,946,000",-,-,-
코스닥,00490151,파트론,와이솔,2015.10.07,단순투자,-,-,0.00%,-
코스닥,00490151,파트론,큐에스아이,2009.06.03,단순투자,"28,794,000","24,464",0.30%,"60,264,000"
유가,00102113,경인양행,네오세미테크,2000.09.01,단순투자,"12,000,000","60,000",0.12%,0
